Name,total_rev,t_fed_rev,t_st_rev,t_loc_rev
"CALHOUN COUNTY ISD, TX",11996,1347,2301,8347
"CALLISBURG ISD, TX",11864,1388,4179,6297
"CALVERT ISD, TX",12882,2941,4219,5722
"CALVIN NELMS CHARTER SCHOOLS, TX",8419,542,7746,131
"CAMERON ISD, TX",10166,1372,6032,2762
"CAMPBELL ISD, TX",10168,923,6933,2312
"CANADIAN ISD, TX",31065,823,3226,27015
"CANTON ISD, TX",9624,719,4095,4810
"CANUTILLO ISD, TX",11035,1880,6075,3080
"CANYON ISD, TX",8508,896,2730,4882
"CARLISLE ISD, TX",10350,1218,6857,2274
"CARRIZO SPRINGS CISD, TX",10912,2653,5867,2392
"CARROLL ISD, TX",13172,819,1388,10964
"CARROLLTON-FARMERS BRANCH ISD, TX",11052,1207,2485,7360
"CARTHAGE ISD, TX",19145,1388,3501,14256
"CASTLEBERRY ISD, TX",9988,1811,6229,1948
"CAYUGA ISD, TX",16211,4405,5619,6186
"CEDAR HILL ISD, TX",9739,1341,3629,4770
"CEDARS INTERNATIONAL ACADEMY, TX",9593,1475,7946,172
"CELESTE ISD, TX",11930,901,8324,2705
"CELINA ISD, TX",11664,1313,4431,5921
"CENTER ISD, TX",9887,1853,5367,2668
"CENTER POINT ISD, TX",10759,1418,5278,4064
"CENTERVILLE ISD, TX",11768,2737,4456,4575
"CENTERVILLE ISD, TX",10994,1534,7559,1901
"CENTRAL HEIGHTS ISD, TX",9388,854,6279,2255
"CENTRAL ISD, TX",9889,1328,6062,2500
"CHANNELVIEW ISD, TX",9455,1711,4089,3656
"CHANNING ISD, TX",14085,941,2255,10889
"CHAPARRAL STAR ACADEMY, TX",8142,607,7451,84
"CHAPEL HILL ACADEMY, TX",8564,765,7413,387
"CHAPEL HILL ISD, TX",9784,883,6993,1908
"CHAPEL HILL ISD, TX",9729,1264,3951,4513
"CHARLOTTE ISD, TX",11135,1288,6939,2909
"CHEROKEE ISD, TX",15085,2632,8128,4325
"CHESTER ISD, TX",11169,2246,4842,4082
"CHICO ISD, TX",15460,781,2471,12209
"CHILDREN FIRST ACADEMY OF DALLAS, TX",14695,1094,13601,0
"CHILDREN FIRST ACADEMY OF HOUSTON, TX",_,_,_,_
"CHILDRESS ISD, TX",10574,1494,6591,2489
"CHILLICOTHE ISD, TX",13157,1369,4838,6949
"CHILTON ISD, TX",12073,2757,7779,1538
"CHINA SPRING ISD, TX",9136,497,4975,3665
"CHIRENO ISD, TX",11154,1337,7106,2711
"CHISUM ISD, TX",13166,800,895,11471
"CHRISTOVAL ISD, TX",11583,612,3761,7211
"CISCO ISD, TX",11710,1454,4237,6019
"CITY CENTER HEALTH CAREERS, TX",11455,3260,7927,268
"CITY VIEW ISD, TX",11490,2363,6296,2831
"CLARENDON ISD, TX",11203,1135,7168,2899
"CLARKSVILLE ISD, TX",14398,2785,8238,3376
"CLAUDE ISD, TX",12573,934,7456,4183
"CLEAR CREEK ISD, TX",9748,846,3114,5788
"CLEBURNE ISD, TX",9701,1345,2777,5579
"CLEVELAND ISD, TX",9876,1404,5730,2742
"CLIFTON ISD, TX",9996,1311,3319,5366
"CLINT ISD, TX",9306,1810,6305,1190
"CLYDE CISD, TX",11892,1448,5910,4533
"COAHOMA ISD, TX",11383,1226,3347,6810
"COLDSPRING-OAKHURST CISD, TX",10419,2073,2055,6291
"COLEMAN ISD, TX",11858,2469,7549,1840
"COLLEGE STATION ISD, TX",10876,1021,1793,8062
"COLLINSVILLE ISD, TX",10168,682,6165,3322
"COLMESNEIL ISD, TX",10613,1679,6064,2870
"COLORADO ISD, TX",10974,1526,5432,4016
"COLUMBIA-BRAZORIA ISD, TX",9377,1982,3954,3441
"COLUMBUS ISD, TX",10437,1519,2763,6155
