Name,total_rev,t_fed_rev,t_st_rev,t_loc_rev
"ROCKWALL ISD, TX",10517,884,3084,6549
"ROGERS ISD, TX",10299,1031,6638,2630
"ROMA ISD, TX",11125,2545,7494,1086
"RON JACKSON STATE JUVENILE CORR COMPLEX UNIT I, TX",_,_,_,_
"RON JACKSON STATE JUVENILE CORR COMPLEX UNIT II, TX",_,_,_,_
"ROOSEVELT ISD, TX",11175,1358,6789,3028
"ROPES ISD, TX",11421,1320,6543,3558
"ROSCOE ISD, TX",20026,1386,6484,12157
"ROSEBUD-LOTT ISD, TX",13150,2439,8309,2401
"ROTAN ISD, TX",13834,2075,8284,3475
"ROUND ROCK ISD, TX",10195,838,2784,6573
"ROUND TOP-CARMINE ISD, TX",18602,833,2065,15703
"ROXTON ISD, TX",12133,1515,6066,4551
"ROYAL ISD, TX",11920,1415,4497,6008
"ROYSE CITY ISD, TX",10127,811,5289,4027
"RULE ISD, TX",12021,1857,7107,3057
"RUNGE ISD, TX",11888,2441,6757,2691
"RUSK ISD, TX",9998,2515,5161,2322
"S AND S CISD, TX",11314,1367,3976,5972
"SABINAL ISD, TX",12879,3264,5928,3687
"SABINE ISD, TX",10441,2175,4958,3308
"SABINE PASS ISD, TX",35814,1180,10500,24135
"SAINT JO ISD, TX",12833,976,3317,8539
"SALADO ISD, TX",10103,524,3189,6391
"SALTILLO ISD, TX",14218,2992,8724,2502
"SAM RAYBURN ISD, TX",10141,763,6821,2556
"SAMNORWOOD ISD, TX",25516,1500,17563,6453
"SAN ANGELO ISD, TX",9340,1724,4426,3190
"SAN ANTONIO CAN HIGH SCHOOL, TX",11736,2122,7836,1778
"SAN ANTONIO ISD, TX",10488,2821,4766,2901
"SAN ANTONIO PREPARATORY ACADEMY, TX",9577,1511,7988,78
"SAN ANTONIO SCHOOL FOR INQUIRY & CREATIVITY, TX",10495,1313,9081,101
"SAN ANTONIO TECHNOLOGY ACADEMY, TX",13526,2500,9750,1276
"SAN AUGUSTINE ISD, TX",11887,2151,5249,4488
"SAN BENITO CISD, TX",10164,2368,6796,1000
"SAN DIEGO ISD, TX",13065,1910,7433,3722
"SAN ELIZARIO ISD, TX",10349,2670,7106,573
"SAN FELIPE-DEL RIO CISD, TX",9631,2239,5678,1713
"SAN ISIDRO ISD, TX",16408,1816,1938,12654
"SAN MARCOS CISD, TX",10803,1637,2731,6435
"SAN PERLITA ISD, TX",13672,2732,7780,3160
"SAN SABA ISD, TX",11018,1371,6466,3181
"SAN VICENTE ISD, TX",48700,11950,31150,5600
"SANDS CISD, TX",23053,1354,805,20894
"SANFORD-FRITCH ISD, TX",9380,994,6000,2386
"SANGER ISD, TX",9555,756,4488,4311
"SANTA ANNA ISD, TX",11663,1232,7525,2906
"SANTA FE ISD, TX",9643,914,4697,4033
"SANTA GERTRUDIS ISD, TX",18893,1067,7070,10756
"SANTA MARIA ISD, TX",12133,3534,7800,799
"SANTA ROSA ISD, TX",13107,3963,8163,981
"SANTO ISD, TX",10517,635,2813,7069
"SAVOY ISD, TX",10455,1010,5513,3932
"SCHERTZ-CIBOLO-U CITY ISD, TX",9411,959,4179,4273
"SCHLEICHER ISD, TX",12356,1866,3077,7413
"SCHOOL OF EXCELLENCE IN EDUCATION, TX",12218,3042,9064,112
"SCHOOL OF SCIENCE AND TECHNOLOGY, TX",8429,652,7471,306
"SCHOOL OF SCIENCE AND TECHNOLOGY CORPUS CHRISTI, TX",8859,862,7298,699
"SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY, TX",8743,794,7661,287
"SCHULENBURG ISD, TX",10638,979,3604,6055
"SCURRY-ROSSER ISD, TX",10049,1215,6215,2620
"SEAGRAVES ISD, TX",16148,1525,7606,7018
"SEALY ISD, TX",10344,1220,3927,5198
"SEASHORE CHARTER SCHOOLS, TX",20324,1414,18117,793
"SEASHORE LEARNING CTR CHARTER, TX",_,_,_,_
"SEGUIN ISD, TX",9564,1667,3456,4440
"SEMINOLE ISD, TX",27849,1495,3166,23188
"SER-NINOS CHARTER SCHOOL, TX",10499,1706,8366,428
"SEYMOUR ISD, TX",11672,1546,6960,3166
"SHALLOWATER ISD, TX",10995,1712,6467,2815
"SHAMROCK ISD, TX",15291,4150,5980,5161
"SHARYLAND ISD, TX",9066,1144,4668,3254
"SHEKINAH RADIANCE ACADEMY, TX",9349,1225,8058,65
"SHELBYVILLE ISD, TX",11972,2187,5780,4005
"SHELDON ISD, TX",13571,1611,3359,8600
"SHEPHERD ISD, TX",10288,1676,6323,2289
"SHERMAN ISD, TX",10043,1481,3375,5188
"SHINER ISD, TX",9246,789,4497,3960
"SIDNEY ISD, TX",13571,1357,9589,2625
"SIERRA BLANCA ISD, TX",10579,692,4692,5195
"SILSBEE ISD, TX",10565,1811,5214,3540
"SILVERTON ISD, TX",11995,1227,7362,3405
"SIMMS ISD, TX",11062,949,7978,2136
"SINTON ISD, TX",11276,2046,6482,2748
"SIVELLS BEND ISD, TX",20647,1441,3029,16176
"SKIDMORE-TYNAN ISD, TX",10440,1131,7092,2217
"SLATON ISD, TX",11710,2630,6073,3007
"SLIDELL ISD, TX",13242,1269,3076,8898
"SLOCUM ISD, TX",9933,975,6282,2676
"SMITHVILLE ISD, TX",9467,1013,3914,4540
"SMYER ISD, TX",12320,1345,6713,4262
"SNOOK ISD, TX",11805,1466,6085,4254
"SNYDER ISD, TX",15948,1566,3731,10652
"SOCORRO ISD, TX",9009,1318,5417,2275
"SOMERSET CHARTER SCHOOL, TX",_,_,_,_
"SOMERSET ISD, TX",9815,1797,6655,1363
"SOMERVILLE ISD, TX",11902,2052,4425,5425
"SONORA ISD, TX",20748,1163,6047,13538
"SOUTH PLAINS, TX",12881,4447,8420,14
"SOUTH SAN ANTONIO ISD, TX",10530,2247,6348,1935
"SOUTH TEXAS EDUCATIONAL TECHNOLOGIES INC, TX",9142,1356,7373,413
"SOUTH TEXAS ISD, TX",15736,2044,6171,7521
"SOUTHLAND ISD, TX",12392,1667,4320,6405
"SOUTHSIDE ISD, TX",10702,2023,7043,1636
"SOUTHWEST ISD, TX",10307,1810,6612,1885
"SOUTHWEST PREPARATORY SCHOOL, TX",13209,5102,7488,618
"SOUTHWEST SCHOOL, TX",6967,414,6417,137
"SPEARMAN ISD, TX",12982,865,5102,7016
"SPLENDORA ISD, TX",9852,1493,6611,1748
"SPRING BRANCH ISD, TX",11158,1556,1936,7666
"SPRING CREEK ISD, TX",10951,1256,3744,5951
"SPRING HILL ISD, TX",8806,631,4514,3661
"SPRING ISD, TX",9484,1379,4950,3155
"SPRINGLAKE-EARTH ISD, TX",12308,1819,7397,3092
"SPRINGTOWN ISD, TX",9630,984,4616,4031
"SPUR ISD, TX",21381,1967,6469,12945
"SPURGER ISD, TX",10089,1123,6659,2307
"ST ANTHONY SCHOOL, TX",9348,1000,8024,324
"ST MARY'S ACADEMY CHARTER SCHOOL, TX",9997,1421,8175,402
"STAFFORD MSD, TX",10166,1294,1803,7068
"STAMFORD ISD, TX",14157,4474,7485,2198
"STANTON ISD, TX",15525,1294,1882,12349
"STAR ISD, TX",15860,3807,6912,5140
"STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL, TX",7954,211,7103,640
"STEPHENVILLE, TX",8689,1050,3278,4361
"STEPPING STONES CHARTER EL, TX",10021,1253,8751,17
"STERLING CITY ISD, TX",63650,982,9779,52889
"STOCKDALE ISD, TX",10622,1198,6430,2995
"STRATFORD ISD, TX",12841,1053,2761,9027
"STRAWN ISD, TX",11277,1119,5215,4944
"SUDAN ISD, TX",14490,1256,3280,9953
"SULPHUR BLUFF ISD, TX",11278,987,6705,3586
"SULPHUR SPRINGS ISD, TX",10102,1676,4420,4006
"SUNDOWN ISD, TX",31202,885,5691,24627
"SUNNYVALE ISD, TX",12192,569,2157,9466
"SUNRAY ISD, TX",14298,2052,3179,9067
"SWEENY ISD, TX",12258,1052,2391,8815
"SWEET HOME ISD, TX",9457,845,3915,4698
"SWEETWATER ISD, TX",10994,2326,4917,3751
"TAFT ISD, TX",13144,2964,6022,4158
"TAHOKA ISD, TX",11195,1409,7402,2384
"TARKINGTON ISD, TX",8669,1111,4847,2711
"TATUM ISD, TX",17218,1231,2275,13711
"TAYLOR ISD, TX",10940,2227,4612,4100
"TEAGUE ISD, TX",23377,812,5983,16582
"TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL, TX",9373,1199,8122,53
"TEMPLE EDUCATION CENTER, TX",9879,1352,8394,133
"TEMPLE ISD, TX",8972,2064,3130,3777
"TENAHA ISD, TX",13268,2028,8899,2341
"TERLINGUA CSD, TX",17340,1547,9028,6764
"TERRELL COUNTY ISD, TX",69377,1413,7572,60391
"TERRELL ISD, TX",10051,1978,3555,4518
"TEXARKANA ISD, TX",10034,1764,4388,3882
"TEXAS CITY ISD, TX",12771,1582,2162,9026
"TEXAS COLLEGE PREPARATORY ACADEMIES, TX",8057,623,7355,79
"TEXAS EDUCATION CENTERS, TX",9420,955,8300,165
"TEXAS ELEMENTARY SCHOOL OF THE ARTS, TX",8053,322,7487,243
"TEXAS EMPOWERMENT ACADEMY, TX",8825,386,8048,390
"TEXAS LEADERSHIP, TX",9203,1078,7613,511
"TEXAS PREPARATORY SCHOOL, TX",10188,925,8774,489
"TEXAS SCH FOR THE BLIND & VISUALLY IMPAIRED, TX",_,_,_,_
"TEXAS SCH FOR THE DEAF, TX",_,_,_,_
"TEXAS SERENITY ACADEMY, TX",10064,1289,8735,39
"TEXAS YOUTH COMMISSION, TX",¾,¾,¾,¾
"TEXHOMA ISD, TX",5897,467,739,4690
"TEXLINE ISD, TX",13029,1634,5143,6251
"THE EAST AUSTIN COLLEGE PREP ACADEMY, TX",16458,3810,9743,2905
"THE LEGENDS ACADEMY, TX",8985,446,7400,1138
"THE RHODES SCHOOL, TX",10541,4079,6197,265
"THE SCHOOL OF LIBERAL ARTS AND SCIENCE, TX",¾,¾,¾,¾
"THE VARNETT PUBLIC SCHOOL, TX",10071,1497,8187,388
"THERESA B LEE ACADEMY, TX",¾,¾,¾,¾
"THORNDALE ISD, TX",11240,884,7277,3079
"THRALL ISD, TX",9253,641,5233,3379
"THREE RIVERS ISD, TX",14955,1202,3290,10464
"THREE WAY ISD, TX",20662,1824,8794,10044
"THROCKMORTON ISD, TX",13642,1387,5024,7231
"TIDEHAVEN ISD, TX",16427,913,778,14736
"TIMPSON ISD, TX",12628,2309,7275,3045
"TIOGA ISD, TX",13397,1071,4284,8043
"TOLAR ISD, TX",10603,618,4852,5132
"TOM BEAN ISD, TX",10116,654,6733,2729
"TOMBALL ISD, TX",10477,738,2664,7076
"TORNILLO ISD, TX",10532,1699,8223,611
"TRANSFORMATIVE CHARTER ACADEMY, TX",8640,600,7973,67
"TREETOPS SCHOOL INTERNATIONAL, TX",7264,509,6644,110
"TRENT ISD, TX",14041,745,1612,11684
"TRENTON ISD, TX",10943,889,6102,3953
"TRINIDAD ISD, TX",13102,1525,7774,3802
"TRINITY BASIN PREPARATORY, TX",11032,1363,8222,1446
"TRINITY CHARTER SCHOOL, TX",21026,2933,17766,327
"TRINITY ISD, TX",9748,1723,5194,2831
"TROUP ISD, TX",11292,1035,5594,4662
"TROY ISD, TX",9599,886,5727,2985
"TULIA ISD, TX",10727,1587,7249,1891
"TULOSO-MIDWAY ISD, TX",9886,1213,2746,5927
"TURKEY-QUITAQUE ISD, TX",11535,1618,7364,2553
"TWO DIMENSIONS PREPARATORY ACADEMY, TX",7558,1069,6375,114
"TYLER ISD, TX",10603,1993,3098,5512
"UNION GROVE ISD, TX",10874,955,6064,3855
"UNION HILL ISD, TX",10326,1139,5732,3455
"UNITED ISD, TX",10007,1787,5297,2923
"UNIVERSAL ACADEMY, TX",8661,823,7677,161
"UNIVERSITY OF HOUSTON CHARTER SCHOOL, TX",10059,519,7667,1874
"UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL, TX",9166,1066,7992,108
"UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL, TX",20242,3879,16363,0
"UPLIFT EDUCATION - HAMPTON PREPARATORY, TX",9155,947,8119,89
"UPLIFT EDUCATION - NORTH HILLS PREPARATORY, TX",8444,479,7503,462
"UPLIFT EDUCATION - PEAK PREPARATORY, TX",11700,2020,8626,1053
"UPLIFT EDUCATION - WILLIAMS PREPARATORY, TX",11071,1661,8604,806
"UPLIFT EDUCATION-SUMMIT INTERNATIONAL PREPARATORY, TX",9927,1572,8278,78
"UTOPIA ISD, TX",13349,1201,3593,8555
"UVALDE CISD, TX",9540,2032,5299,2209
"VALENTINE ISD, TX",30354,1667,20875,7813
"VALLEY MILLS ISD, TX",10285,884,5199,4202
"VALLEY VIEW ISD, TX",11412,2253,7908,1251
"VALLEY VIEW ISD, TX",10653,1200,5234,4219
"VAN ALSTYNE ISD, TX",10041,640,4034,5367
"VAN ISD, TX",10013,1311,4846,3855
"VAN VLECK ISD, TX",11426,1126,4103,6197
"VANGUARD ACADEMY, TX",10036,1540,7857,639
"VEGA ISD, TX",13406,1963,6086,5357
"VENUS ISD, TX",9680,999,5725,2955
"VERIBEST ISD, TX",10464,855,5598,4011
"VERNON ISD, TX",10011,1346,4718,3946
"VICTORIA ISD, TX",9675,1552,3534,4589
"VICTORY FIELD CORRECTIONAL ACADEMY, TX",¾,¾,¾,¾
"VICTORY PREP, TX",_,_,_,_
"VIDOR ISD, TX",9600,1716,5610,2273
"VISTA DEL FUTURO CHARTER SCHOOL, TX",14313,4652,9365,296
"VYSEHRAD ISD, TX",13187,934,6956,5297
"WACO CHARTER SCHOOL, TX",9496,1651,7795,50
"WACO ISD, TX",10551,2260,4689,3602
"WAELDER ISD, TX",12742,1702,4488,6552
"WALCOTT ISD, TX",14571,2921,8643,3008
"WALIPP-TSU PREPARATORY ACADEMY, TX",_,_,_,_
"WALL ISD, TX",11432,1633,6265,3534
"WALLER ISD, TX",10075,1197,3960,4918
"WALNUT BEND ISD, TX",14238,1968,7619,4651
"WALNUT SPRINGS ISD, TX",11497,1802,6376,3320
"WARREN ISD, TX",9575,880,5594,3102
"WASKOM ISD, TX",11233,1226,3024,6982
"WATER VALLEY ISD, TX",12592,1545,5524,5524
"WAXAHACHIE FAITH FAMILY ACADEMY, TX",10019,1638,8242,140
"WAXAHACHIE ISD, TX",10246,1056,3487,5704
"WEATHERFORD ISD, TX",10120,1007,2431,6682
"WEBB CISD, TX",47831,1600,10620,35611
"WEIMAR ISD, TX",11780,1121,4605,6055
"WELLINGTON ISD, TX",11036,1385,7609,2042
"WELLMAN-UNION CISD, TX",11474,1148,878,9448
"WELLS ISD, TX",9833,1100,5468,3264
"WESLACO ISD, TX",10051,2535,6227,1288
"WEST HARDIN COUNTY CISD, TX",9904,952,5446,3506
"WEST ISD, TX",10983,1905,5769,3309
"WEST ORANGE-COVE CISD, TX",13075,3213,1850,8011
"WEST OSO ISD, TX",11405,1856,5585,3964
"WEST RUSK COUNTY CONSOLIDATED ISD, TX",11208,1544,3890,5775
"WEST SABINE ISD, TX",19976,2365,7212,10398
"WESTBROOK ISD, TX",32062,1014,4493,26555
"WESTHOFF ISD, TX",21838,1865,10676,9297
"WESTLAKE ACADEMY CHARTER SCHOOL, TX",9612,310,7621,1681
"WESTPHALIA ISD, TX",9987,710,7716,1561
"WESTWOOD ISD, TX",9061,825,4861,3375
"WHARTON ISD, TX",9965,1318,3372,5274
"WHEELER ISD, TX",12210,740,2586,8884
"WHITE DEER ISD, TX",14756,873,2512,11371
"WHITE OAK ISD, TX",8519,624,4594,3300
"WHITE SETTLEMENT ISD, TX",9409,994,4307,4108
"WHITEFACE CISD, TX",44560,1737,11263,31560
"WHITEHOUSE ISD, TX",8283,892,2910,4481
"WHITESBORO ISD, TX",10019,1017,3906,5097
"WHITEWRIGHT ISD, TX",10378,734,6252,3392
"WHITHARRAL ISD, TX",12414,953,6126,5335
"WHITNEY ISD, TX",10309,2047,3712,4551
"WICHITA FALLS ISD, TX",9128,1833,3814,3481
"WILDORADO ISD, TX",15386,1871,4376,9139
"WILLIS ISD, TX",9553,1251,3686,4616
"WILLS POINT ISD, TX",9178,1349,5316,2513
"WILSON ISD, TX",13459,1887,6729,4842
"WIMBERLEY ISD, TX",11575,778,1737,9060
"WINDHAM SCHOOL DISTRICT, TX",_,_,_,_
"WINDTHORST ISD, TX",11271,955,7949,2368
"WINFIELD ISD, TX",11574,1606,5729,4239
"WINFREE ACADEMY CHARTER SCHOOLS, TX",8030,567,7422,40
"WINK-LOVING ISD, TX",57222,733,15065,41424
"WINNSBORO ISD, TX",8857,886,4387,3584
"WINONA ISD, TX",10577,1048,4547,4983
"WINTERS ISD, TX",12161,1958,6433,3770
"WODEN ISD, TX",9729,1056,6582,2092
"WOLFE CITY ISD, TX",10875,1322,7256,2298
"WOODSBORO ISD, TX",14500,3748,6681,4071
"WOODSON ISD, TX",16602,1398,10767,4437
"WOODVILLE ISD, TX",13989,2430,3459,8100
"WORTHAM ISD, TX",10553,816,5915,3823
"WYLIE ISD, TX",8018,359,3143,4516
"WYLIE ISD, TX",9770,758,4424,4588
"YANTIS ISD, TX",12261,1034,2689,8538
"YES PREP PUBLIC SCHOOLS INC, TX",13634,1531,8665,3437
"YOAKUM ISD, TX",10021,1208,5068,3745
"YORKTOWN ISD, TX",10530,1217,6233,3081
"YSLETA ISD, TX",10285,2322,6035,1928
"ZAPATA COUNTY ISD, TX",14211,1931,4212,8068
"ZAVALLA ISD, TX",11679,2704,6260,2715
"ZEPHYR ISD, TX",12130,1195,8045,2890
"ZOE LEARNING ACADEMY, TX",9520,1697,7816,7
