CAMPUS,C20AD12R,C20BKA12R,C20BTA12R,C30AD12R,C30BKA12R,C30BTA12R,C40AD12R,C40BKA12R,C40BTA12R,CA0AD12R,CA0BKA12R,CA0BTA12R,CAHEE12R,CB0AD12R,CB0BKA12R,CB0BTA12R,CE0AD12R,CE0BKA12R,CE0BTA12R,CF0AD12R,CF0BKA12R,CF0BTA12R,CH0AD12R,CH0BKA12R,CH0BTA12R,CI0AD12R,CI0BKA12R,CI0BTA12R,CL0AD12R,CM0AD12R,CM0BKA12R,CM0BTA12R,CR0AD12R,CS0AD12R,CW0AD12R,CW0BKA12R,CW0BTA12R
"101911107",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101911108",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101911111",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101911112",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101911113",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101911114",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101911117",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101911118",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101911120",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101911122",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912001",.,.,.,.,.,.,.,.,.,28.5,32.8,32.4,32,22.5,0,15.2,28.4,34.1,33.6,33.5,38.6,37.1,28.7,33.6,33,-1,-1,-1,5.7,24.1,25.6,28,22.3,5.2,30.4,-1,42.9
"101912002",49.2,91.7,54.5,62.9,90.9,81.4,-1,-1,-1,36.3,87.6,43.2,64.3,19.8,82.4,17.7,20.7,79.3,22.6,38.5,87.4,46.8,22.8,80.1,25,27.3,-1,16.7,4.6,34.2,87.8,39.5,17.8,4,53.5,89.9,59.6
"101912003",-1,.,.,-1,.,-1,.,.,.,28.7,26.6,31.4,40.2,25.3,20,21.1,27.9,26.9,30.4,33.5,24.6,38.2,28.8,26,32.6,-1,.,-1,7.7,23.7,29.8,24.3,24.4,13.6,44.4,-1,42.9
"101912004",.,.,.,-1,-1,-1,-1,.,.,54.3,4.7,63.6,48.1,40.8,0,35.8,54.9,3.7,63.5,59.2,5.5,66.5,56.5,5,68.2,.,.,.,33.7,50.2,3.9,60.7,47.7,26,61.9,0,71.4
"101912006",-1,.,.,.,.,.,.,.,.,24.2,1.4,31.4,46.9,23.7,0,27.4,24.3,2,30.7,34.1,2,42.4,26.1,4.3,46,-1,.,.,8.6,14.9,0,19.8,21.1,6.1,-1,.,.
"101912007",-1,.,.,.,.,.,.,.,.,17.4,0,18.4,47.2,18.3,0,19.8,17.2,0,15.6,23.2,0,28.8,12.7,-1,9.4,-1,-1,-1,11.1,12.6,0,9.7,12.6,2.2,-1,.,.
"101912008",68.9,55.6,75,71.2,66.7,50,73.2,63,64.3,58.3,54.2,51.1,64.5,51,26.4,36.3,46.2,38.8,35.3,63.5,58.1,55.3,47.8,53.2,40.8,83.3,-1,-1,12.5,52.9,49.5,46.8,28.2,8.5,75.9,65,70.5
"101912009",-1,-1,-1,30.6,26.1,45.1,0,.,-1,28.3,15.2,36.9,39.4,26.5,3.1,31.7,31.1,15.2,40,30.6,18.5,43.1,28.9,14.4,36.4,-1,-1,-1,13.9,26.5,11.7,32,25.4,8.8,23.9,33.3,48
"101912010",44.4,-1,14.3,88.9,0,100,-1,.,.,36.1,12.9,28.7,50.2,35.5,0,22.1,37.7,13,28.7,40.7,15.2,32.1,36.1,20.7,34.3,62.5,-1,12.5,15.6,31.9,9.9,25.4,32.1,9.3,11.1,.,-1
"101912011",-1,-1,-1,-1,-1,-1,.,.,.,30.5,29.6,32,47.9,30.6,12.5,32,30.3,29.1,32.7,33.5,25.8,34.7,30.5,29.9,31.8,20,-1,-1,11.3,27.6,34.1,29.3,26.7,13.7,20,-1,-1
"101912012",37.5,-1,-1,42.9,-1,-1,-1,.,.,35.8,22.8,30.7,55.6,25.3,9.1,13.4,35.5,27.4,28.7,38.1,24.3,32.5,36.7,23.9,32.1,25,.,-1,28.4,33.8,21.3,29.1,28,9.5,42.5,23.1,38.2
"101912013",-1,.,.,.,.,.,.,.,.,3.6,.,.,-1,0,.,.,0,.,.,3,.,.,0,.,.,.,.,.,0,4,.,.,0,0,18.8,.,.
"101912014",-1,.,-1,-1,-1,-1,.,.,.,24.7,2.1,23.1,48.1,24.5,0,22.5,25,2.9,21.7,29.6,3.7,24.7,25.4,7.7,26.3,-1,.,-1,10.6,19.9,0,21.3,22.2,5.9,20,.,-1
"101912015",42.9,-1,57.1,50,-1,-1,.,.,.,30.8,27.8,28.9,59.1,23.9,18.8,17.8,28.8,33.1,24.3,34.5,23.4,34.4,29.5,31.5,26.6,-1,-1,-1,2.1,27.3,34.1,23.5,21.2,5.5,45.5,19.6,47.7
"101912016",-1,.,.,-1,.,.,44.4,-1,60,32.4,23.5,18,54.9,33.8,20.5,15.7,31.9,24.5,15.4,32.8,23.1,14.4,28.5,33.3,18.6,28.6,-1,33.3,23.1,32.1,23.8,21.3,24.6,5,42.9,-1,60
"101912017",25,-1,-1,15.6,25,17.9,-1,-1,-1,25.1,15.1,33.8,50.9,24.1,6,30.7,25.6,14.6,32.4,27.6,17.6,37.4,26.8,20.2,37.5,21.4,-1,25,7.1,22.8,12.1,30.3,20.1,3.7,35.3,35.7,50
"101912018",.,.,.,-1,-1,-1,.,.,.,25.5,0.9,27,50.8,30.2,1.2,29.5,25,0,26.1,27.5,1.4,31.4,18.7,0,20.4,-1,-1,-1,6.6,23.5,0,22.5,21.3,4.5,-1,-1,-1
"101912019",-1,.,.,.,.,.,.,.,.,25.8,6,26.7,54.2,25.5,1.2,25.1,25.8,8.1,26.9,28.6,1.5,33.7,31.1,33.3,44.1,-1,.,-1,13.3,23,14.3,19.3,24.1,6.3,0,.,-1
"101912020",-1,.,-1,-1,.,-1,-1,.,.,22.5,0,18,58,22.7,0,17.7,20.7,0,16,26.9,0,22.6,21.1,0,25,-1,.,-1,7.7,18.2,0,13,20.2,5.4,-1,.,.
"101912023",30,-1,-1,50,42.9,58.3,.,.,.,32.6,18.9,45.6,47.5,29.6,4.8,38,33.7,20.1,44.8,36.3,21.1,51.6,33.6,22.8,49.5,-1,-1,-1,13.6,29.6,16.2,39.9,25.6,12.3,27.3,-1,23.5
"101912024",-1,-1,-1,-1,-1,-1,.,.,.,33.7,16.8,29.6,43.7,25.3,8.7,26.4,33.2,18.2,28.4,38.1,13.2,27.5,35.2,20.3,28.9,-1,.,.,6.3,30.3,19.3,31.1,23,7.7,44.2,20,38.5
"101912025",57.1,55.6,81.8,62.2,92.9,87.5,-1,.,.,63.3,70.3,69.2,45.1,55.3,61,65.1,48.8,29.2,49,62.6,71.3,70.5,55.6,48.6,54.7,-1,-1,-1,-1,64.8,68.5,67,54.7,43.8,70.2,78.7,73.5
"101912026",50,-1,80,56.9,91.3,85.7,-1,-1,-1,53.8,93.1,80.9,78.6,51.8,96.2,77.2,52.3,92,75,52.2,92.6,79.7,54.1,92.1,76.7,-1,.,.,.,56,94,82.6,45.3,-1,46.6,95.7,85.2
"101912027",-1,.,.,51,16.7,35.3,16.7,.,.,31.1,22,31.1,54.6,28.2,9.8,25.2,31.3,24.9,31.1,34.9,25.9,34.8,30.9,24.2,31.6,0,.,-1,23,27.4,17.1,27.3,23.7,4.3,25,-1,30.8
"101912033",-1,.,-1,50,-1,-1,.,.,.,39.2,10.9,39.5,59.6,37.5,1.2,35.7,39.4,13.1,37.5,41.9,11.4,44,40.4,19.8,42.6,40,.,-1,0,35.4,9.8,32.4,32.6,7.3,63.6,0,71.4
"101912034",-1,-1,-1,-1,-1,-1,-1,-1,-1,59.9,18,85.1,81.7,66.4,7.5,85.5,58.9,17.6,85.5,63.1,19.8,84.6,58.3,20.7,85.8,-1,.,-1,-1,55.7,15.3,85.9,65.7,25,50,60,71.4
"101912036",55.2,63.6,55,63.8,59,64.2,-1,.,-1,42.4,57.6,35.1,65.9,34.5,43.3,20,33.6,54.2,26.1,45.9,57.2,38.1,35.2,57.7,31.7,42.9,-1,-1,9.8,38.8,58.1,32,25.9,10.6,57.6,64.4,49.3
"101912039",.,.,.,-1,.,.,.,.,.,0,.,.,-1,-1,.,.,0,.,.,-1,.,.,-1,.,.,.,.,.,.,0,.,.,-1,0,-1,.,.
"101912041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912042",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912043",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912044",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912045",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912046",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912047",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912048",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912049",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912050",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912051",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912052",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912053",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912054",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912055",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912056",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912057",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912058",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912059",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912060",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912061",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912062",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912064",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912066",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912068",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912071",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912072",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912075",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912077",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912078",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912079",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912080",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912081",-1,-1,-1,67.6,35.7,58.3,.,.,.,59.4,20.2,57.8,.,60.4,7.7,61.9,58.7,22.2,54.2,56.5,22.2,58.1,59.4,19.7,56.7,.,.,.,15.8,62.5,18,57.5,46.9,11.1,20,.,.
"101912082",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912094",.,.,.,.,.,.,-1,.,.,0,.,.,-1,0,.,.,0,.,.,0,.,.,0,.,.,.,.,.,0,0,.,.,0,0,-1,.,.
"101912097",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912098",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912099",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912100",0,.,.,0,.,.,-1,.,.,0,.,.,.,0,.,.,0,.,.,0,.,.,0,.,.,-1,.,.,-1,0,.,.,0,-1,0,.,.
"101912102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912105",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912106",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912107",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912108",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912109",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912110",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912111",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912112",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912113",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912114",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912115",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912116",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912117",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912119",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912120",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912121",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912122",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912123",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912124",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912125",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912127",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912128",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912130",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912131",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912132",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912133",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912135",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912136",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912137",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912138",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912139",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912140",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912144",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912147",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912148",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912149",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912151",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912152",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912153",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912154",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912155",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912156",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912157",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912158",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912159",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912162",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912163",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912166",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912167",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912168",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912169",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912170",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912171",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912172",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912173",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912174",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912175",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912178",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912179",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912180",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912181",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912182",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912185",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912186",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912187",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912188",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912189",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912192",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912194",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912195",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912196",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912197",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912198",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912199",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912201",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"101912203",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
