CAMPUS,C20AD12R,C20BKA12R,C20BTA12R,C30AD12R,C30BKA12R,C30BTA12R,C40AD12R,C40BKA12R,C40BTA12R,CA0AD12R,CA0BKA12R,CA0BTA12R,CAHEE12R,CB0AD12R,CB0BKA12R,CB0BTA12R,CE0AD12R,CE0BKA12R,CE0BTA12R,CF0AD12R,CF0BKA12R,CF0BTA12R,CH0AD12R,CH0BKA12R,CH0BTA12R,CI0AD12R,CI0BKA12R,CI0BTA12R,CL0AD12R,CM0AD12R,CM0BKA12R,CM0BTA12R,CR0AD12R,CS0AD12R,CW0AD12R,CW0BKA12R,CW0BTA12R
"040901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"040902001",-1,.,.,.,.,.,.,.,.,25,-1,13.3,-1,-1,.,.,26.1,-1,14.3,31.6,.,0,13.6,.,0,.,.,.,-1,18.4,-1,28.6,17.9,14.3,31.4,-1,17.4
"040902002",.,.,.,.,.,.,.,.,.,-1,.,.,-1,.,.,.,-1,.,.,-1,.,.,-1,.,.,.,.,.,.,-1,.,.,-1,-1,-1,.,.
"040902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"041901001",-1,.,-1,-1,-1,-1,.,.,.,25.8,14.3,13.7,70,.,.,.,9.4,-1,11.8,34.8,16.7,24,16.7,-1,16.7,.,.,.,0,17,-1,3.8,0,0,26.4,-1,10.8
"041901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"041902001",.,.,.,.,.,.,.,.,.,18.6,-1,5.3,75,.,-1,-2,14.3,.,0,28.6,.,0,9.1,-1,6.7,.,.,.,-1,9.7,-1,11.8,8.3,-1,24.3,.,0
"041902002",.,.,.,.,.,.,.,.,.,-1,.,.,-1,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.
"041902005",.,.,.,.,.,.,.,.,.,-1,.,.,-1,.,.,.,-1,.,.,.,.,.,-1,.,.,.,.,.,.,-1,.,.,-1,.,.,.,.
"041902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"041902180",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"041902195",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"042901001",-1,.,-1,-1,.,.,.,.,.,17.8,20,5.5,47.7,25,.,-1,8.4,-1,5.6,12.6,-1,4.7,13.1,-1,4.2,.,.,.,-1,22.7,-1,6.3,6,4.5,19.9,-1,6.3
"042901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
